"","x"
"1468","113702"
"1469","55818"
"1470","7079"
"1471","279188"
"1472","280430"
"1473","284455"
"1474","284480"
"1475","284561"
"1476","284565"
"1477","284578"
"1478","284582"
"1479","284585"
"1480","284587"
"1481","284604"
"1482","284612"
"1483","284642"
"1484","285067"
"1485","285153"
"1486","285163"
"1487","285170"
"1488","285175"
"1489","285195"
"1490","285660"
"1491","285668"
"1492","285746"
"1493","285754"
"1494","285758"
"1495","285769"
"1496","285771"
"1497","285778"
"1498","285782"
"1499","285792"
"1500","286263"
"1501","286274"
"1502","286354"
"1503","286355"
"1504","286365"
"1505","286377"
"1506","286378"
"1507","286379"
"1508","286387"
"1509","286395"
"1510","286409"
"1511","286861"
"1512","286964"
"1513","286970"
"1514","286977"
"1515","286986"
"1516","287001"
"1517","287483"
"1518","287497"
"1519","287611"
"1520","287622"
"1521","288051"
"1522","288069"
"1523","288071"
"1524","288171"
"1525","288175"
"1526","288187"
"1527","288695"
"1528","288707"
"1529","288807"
"1530","289188"
"1531","289201"
"1532","289827"
"1533","290083"
"1534","290090"
"1535","290217"
"1536","290454"
"1537","290704"
"1538","290713"
"1539","290715"
"1540","291438"
"1541","291761"
"1542","292017"
"1543","292026"
"1544","292133"
"1545","292353"
"1546","293025"
"1547","293304"
"1548","297394"
"1549","298199"
"1550","298218"
"1551","299391"
"1552","301160"
"1553","301311"
"1554","301312"
"1555","301314"
"1556","301317"
"1557","301323"
"1558","301325"
"1559","301331"
"1560","301332"
"1561","301333"
"1562","301336"
"1563","301344"
"1564","301355"
"1565","301356"
"1566","301358"
"1567","301363"
"1568","301495"
"1569","301508"
"1570","302030"
"1571","302031"
"1572","302198"
"1573","302218"
"1574","302223"
"1575","302224"
"1576","302239"
"1577","302256"
"1578","302263"
"1579","302349"
"1580","302370"
"1581","302389"
"1582","302409"
"1583","303083"
"1584","303094"
"1585","303116"
"1586","303120"
"1587","303121"
"1588","303124"
"1589","303128"
"1590","303134"
"1591","303135"
"1592","303140"
"1593","303141"
"1594","303150"
"1595","303321"
"1596","303324"
"1597","303896"
"1598","303897"
"1599","304009"
"1600","304046"
"1601","304051"
"1602","304056"
"1603","304061"
"1604","304063"
"1605","304064"
"1606","304068"
"1607","304082"
"1608","304083"
"1609","304097"
"1610","304098"
"1611","304104"
"1612","304126"
"1613","304239"
"1614","304812"
"1615","304813"
"1616","304954"
"1617","304979"
"1618","304980"
"1619","304987"
"1620","304988"
"1621","305000"
"1622","305005"
"1623","305139"
"1624","305672"
"1625","305673"
"1626","305676"
"1627","305812"
"1628","305839"
"1629","305841"
"1630","305843"
"1631","305844"
"1632","305857"
"1633","305868"
"1634","305877"
"1635","305893"
"1636","305894"
"1637","305895"
"1638","305966"
"1639","306038"
"1640","306777"
"1641","306778"
"1642","306812"
"1643","306820"
"1644","306821"
"1645","306824"
"1646","306831"
"1647","306832"
"1648","306833"
"1649","306835"
"1650","306838"
"1651","306840"
"1652","307680"
"1653","307681"
"1654","307687"
"1655","307688"
"1656","307693"
"1657","307719"
"1658","307722"
"1659","307730"
"1660","307742"
"1661","307743"
"1662","307746"
"1663","307753"
"1664","307755"
"1665","307883"
"1666","307936"
"1667","308475"
"1668","308667"
"1669","308927"
"1670","308949"
"1671","308951"
"1672","309021"
"1673","309233"
"1674","309234"
"1675","309253"
"1676","309254"
"1677","309264"
"1678","309265"
"1679","309328"
"1680","309519"
"1681","309536"
"1682","309539"
"1683","309545"
"1684","309546"
"1685","309547"
"1686","309551"
"1687","309617"
"1688","309790"
"1689","309791"
"1690","309815"
"1691","310067"
"1692","310081"
"1693","310086"
"1694","310353"
"1695","310366"
"1696","310379"
"1697","310434"
"1698","310635"
"1699","310641"
"1700","310653"
"1701","310748"
"1702","310749"
"1703","310753"
"1704","310757"
"1705","310769"
"1706","311142"
"1707","311143"
"1708","311148"
"1709","311155"
"1710","311157"
"1711","311531"
"1712","311533"
"1713","311537"
"1714","311538"
"1715","311539"
"1716","311540"
"1717","311973"
"1718","312357"
"1719","312736"
"1720","312739"
"1721","312747"
"1722","313128"
"1723","313134"
"1724","313520"
"1725","313531"
"1726","313534"
"1727","313881"
"1728","314231"
"1729","44550"
"1730","12008"
"1731","135419"
"1732","87054"
"1733","113751"
"1734","84957"
"1735","314625"
"1736","25656"
"1737","314628"
"1738","88140"
"1739","68319"
"1740","39214"
"1741","128107"
"1742","69286"
"1743","112814"
"1744","50705"
"1745","97373"
"1746","32921"
"1747","21387"
"1748","40274"
"1749","99400"
"1750","315359"
"1751","53856"
"1752","315727"
"1753","56930"
"1754","31928"
"1755","86042"
"1756","57966"
"1757","316091"
"1758","44538"
"1759","117920"
"1760","79767"
"1761","87087"
"1762","131302"
"1763","316474"
"1764","316477"
"1765","79766"
"1766","47598"
"1767","75511"
"1768","51817"
"1769","20341"
"1770","80805"
"1771","62093"
"1772","90271"
"1773","69361"
"1774","51822"
"1775","45544"
"1776","96397"
"1777","82890"
"1778","27731"
"1779","2074"
"1780","1425"
"1781","133306"
"1782","104522"
"1783","42481"
"1784","1516"
"1785","80783"
"1786","725"
"1787","99439"
"1788","70363"
"1789","42512"
"1790","98517"
"1791","115914"
"1792","11053"
"1793","2955"
"1794","148"
"1795","70361"
"1796","90250"
"1797","67325"
"1798","108663"
"1799","123253"
"1800","104533"
"1801","40322"
"1802","87127"
"1803","34994"
"1804","318561"
"1805","319162"
"1806","319663"
"1807","323991"
"1808","324762"
"1809","324866"
"1810","324936"
"1811","325260"
"1812","325414"
"1813","326928"
"1814","327277"
"1815","330230"
"1816","330231"
"1817","330235"
"1818","330237"
"1819","330243"
"1820","330754"
"1821","330755"
"1822","330767"
"1823","330770"
"1824","331039"
"1825","331310"
"1826","331833"
"1827","331845"
"1828","332352"
"1829","332360"
"1830","332902"
"1831","332904"
"1832","332907"
"1833","332908"
"1834","332919"
"1835","332920"
"1836","333442"
"1837","333443"
"1838","333979"
"1839","333983"
"1840","334608"
"1841","336493"
"1842","336872"
"1843","336915"
"1844","344435"
"1845","344513"
"1846","345241"
"1847","345242"
"1848","345303"
"1849","345728"
"1850","345732"
"1851","346058"
"1852","346607"
"1853","346920"
"1854","347029"
"1855","347030"
"1856","347435"
"1857","347444"
"1858","347897"
"1859","347984"
"1860","348210"
"1861","349094"
"1862","349096"
"1863","349554"
"1864","357454"
"1865","358378"
"1866","358600"
"1867","365536"
"1868","51843"
"1869","369853"
"1870","370141"
"1871","370560"
"1872","370963"
