"","x"
"1206","213489"
"1207","213493"
"1208","213495"
"1209","213496"
"1210","213497"
"1211","213500"
"1212","213501"
"1213","213503"
"1214","213504"
"1215","213506"
"1216","213507"
"1217","213508"
"1218","213510"
"1219","213512"
"1220","213514"
"1221","213515"
"1222","213519"
"1223","213522"
"1224","213524"
"1225","213525"
"1226","213528"
"1227","213530"
"1228","213532"
"1229","213535"
"1230","213536"
"1231","213537"
"1232","213540"
"1233","213549"
"1234","213556"
"1235","213557"
"1236","213919"
"1237","213920"
"1238","214051"
"1239","214072"
"1240","214179"
"1241","214365"
"1242","214390"
"1243","214391"
"1244","214401"
"1245","214409"
"1246","214411"
"1247","214417"
"1248","214419"
"1249","214424"
"1250","214433"
"1251","214435"
"1252","214436"
"1253","214437"
"1254","214446"
"1255","214454"
"1256","214455"
"1257","214457"
"1258","214458"
"1259","214460"
"1260","214462"
"1261","214464"
"1262","214472"
"1263","214476"
"1264","214477"
"1265","214478"
"1266","214479"
"1267","214483"
"1268","214484"
"1269","214486"
"1270","214495"
"1271","214500"
"1272","214501"
"1273","214509"
"1274","214510"
"1275","214511"
"1276","214512"
"1277","214929"
"1278","215055"
"1279","215104"
"1280","215381"
"1281","215437"
"1282","215444"
"1283","215446"
"1284","215449"
"1285","215450"
"1286","215451"
"1287","215456"
"1288","215457"
"1289","215464"
"1290","215467"
"1291","215470"
"1292","215471"
"1293","215474"
"1294","215475"
"1295","215478"
"1296","215481"
"1297","215483"
"1298","215489"
"1299","215490"
"1300","215495"
"1301","215496"
"1302","215497"
"1303","215502"
"1304","215504"
"1305","215505"
"1306","215506"
"1307","215507"
"1308","215508"
"1309","215512"
"1310","215514"
"1311","215517"
"1312","215519"
"1313","215520"
"1314","215521"
"1315","215523"
"1316","215525"
"1317","215526"
"1318","215527"
"1319","215530"
"1320","215543"
"1321","215551"
"1322","215837"
"1323","215937"
"1324","216345"
"1325","216394"
"1326","216411"
"1327","216421"
"1328","216423"
"1329","216424"
"1330","216425"
"1331","216427"
"1332","216443"
"1333","216445"
"1334","216452"
"1335","216455"
"1336","216456"
"1337","216457"
"1338","216458"
"1339","216459"
"1340","216463"
"1341","216464"
"1342","216472"
"1343","216474"
"1344","216477"
"1345","216478"
"1346","216479"
"1347","216483"
"1348","216484"
"1349","216488"
"1350","216489"
"1351","216494"
"1352","216501"
"1353","216504"
"1354","216515"
"1355","216521"
"1356","216928"
"1357","217067"
"1358","217122"
"1359","217237"
"1360","217258"
"1361","217418"
