"","x"
"1652","202563"
"1653","202615"
"1654","202619"
"1655","202665"
"1656","202668"
"1657","202671"
"1658","202691"
"1659","202692"
"1660","202699"
"1661","202701"
"1662","202702"
"1663","202703"
"1664","202715"
"1665","202716"
"1666","202718"
"1667","202728"
"1668","202747"
"1669","202748"
"1670","202749"
"1671","202762"
"1672","202763"
"1673","202784"
"1674","202786"
"1675","202799"
"1676","202813"
"1677","202833"
"1678","202839"
"1679","202842"
"1680","202857"
"1681","203064"
"1682","203104"
"1683","203514"
"1684","203522"
"1685","203523"
"1686","203534"
"1687","203569"
"1688","203584"
"1689","203586"
"1690","203740"
"1691","203761"
"1692","203824"
"1693","203837"
"1694","203842"
"1695","203844"
"1696","203851"
"1697","203853"
"1698","203871"
"1699","203873"
"1700","203880"
"1701","203905"
"1702","203906"
"1703","203926"
"1704","203927"
"1705","203928"
"1706","203951"
"1707","204019"
"1708","204038"
"1709","204039"
"1710","204041"
"1711","204047"
"1712","204049"
"1713","204065"
"1714","204076"
"1715","204077"
"1716","204078"
"1717","204089"
"1718","204091"
"1719","204110"
"1720","204111"
"1721","204127"
"1722","204129"
"1723","204154"
"1724","204213"
"1725","204219"
"1726","204226"
"1727","204255"
"1728","204446"
"1729","204447"
"1730","204559"
"1731","204620"
"1732","204622"
"1733","204653"
"1734","204686"
"1735","204730"
"1736","204735"
"1737","204797"
"1738","204798"
"1739","204801"
"1740","204818"
"1741","204883"
"1742","204887"
"1743","204902"
"1744","204926"
"1745","204951"
"1746","204967"
"1747","204980"
"1748","204986"
"1749","204995"
"1750","204996"
"1751","205016"
"1752","205023"
"1753","205049"
"1754","205064"
"1755","205093"
"1756","205122"
"1757","205126"
"1758","205127"
"1759","205144"
"1760","205145"
"1761","205157"
"1762","205174"
"1763","205177"
"1764","205190"
"1765","205193"
"1766","205210"
"1767","205301"
"1768","205318"
"1769","205326"
"1770","205327"
"1771","205364"
"1772","205511"
"1773","205539"
"1774","205759"
"1775","205783"
"1776","205784"
"1777","205786"
"1778","205947"
"1779","205960"
"1780","206005"
"1781","206045"
"1782","206050"
"1783","206064"
"1784","206065"
"1785","206075"
"1786","206096"
"1787","206098"
"1788","206110"
"1789","206137"
"1790","206146"
"1791","206150"
"1792","206181"
"1793","206190"
"1794","206191"
"1795","206192"
"1796","206229"
"1797","206256"
"1798","206264"
"1799","206306"
"1800","206312"
"1801","206313"
"1802","206326"
"1803","206329"
"1804","206332"
"1805","206333"
"1806","206334"
"1807","206350"
"1808","206351"
"1809","206368"
"1810","206390"
"1811","206392"
"1812","206425"
"1813","206515"
"1814","206554"
"1815","206560"
"1816","206702"
"1817","206912"
"1818","206913"
"1819","206940"
"1820","206973"
"1821","206998"
"1822","207092"
"1823","207123"
"1824","207128"
"1825","207179"
"1826","207191"
"1827","207226"
"1828","207246"
"1829","207248"
"1830","207313"
"1831","207314"
"1832","207323"
"1833","207325"
"1834","207328"
"1835","207334"
"1836","207340"
"1837","207348"
"1838","207349"
"1839","207358"
"1840","207362"
"1841","207368"
"1842","207499"
"1843","207500"
"1844","207526"
"1845","207589"
"1846","207590"
"1847","207591"
"1848","207602"
"1849","207625"
"1850","207700"
"1851","207708"
"1852","207712"
"1853","207718"
"1854","207742"
"1855","207747"
"1856","207748"
"1857","208133"
"1858","208134"
"1859","208164"
"1860","208185"
"1861","208197"
"1862","208214"
"1863","208317"
"1864","208319"
"1865","208428"
"1866","208431"
"1867","208436"
"1868","208453"
"1869","208480"
"1870","208488"
"1871","208527"
